ID;DT_CUSTOMER;YEAR_BIRTH;ANNUAL_INCOME;ID_EDUCATION;ID_MARITAL_STATUS;KID_HOME;TEEN_HOME;DAYS_LAST_PURCHASE;MNT_WINES;MNT_FRUITS;MNT_MEAT;MNT_FISH;MNT_SWEET;NUM_DEALS_PURCHASES;WEB_PURCHASES;CATALOG_PURCHASES;STORE_PURCHASES;WEB_VISITS_MONTH;COMPLAIN
9369;19/3/2014;1979;88194;1;5;0;1;19;688;14;309;201;24;1;11;10;10;5;0
4477;27/9/2013;1958;69096;3;6;0;1;4;247;49;159;7;82;1;5;2;10;4;0
1357;8/4/2013;1970;74854;3;6;1;2;90;856;59;487;58;29;7;2;5;5;5;0
1402;11/9/2012;1954;66991;4;4;0;0;1;496;36;460;189;60;3;4;8;6;3;0
10629;14/9/2012;1973;;1;4;1;0;25;25;3;43;17;4;3;3;0;3;8;0
6312;17/3/2013;1959;65031;3;4;0;1;29;258;107;291;84;37;4;10;3;13;7;0
8132;5/4/2013;1975;60631;5;4;1;1;88;565;6;65;0;6;5;9;2;8;7;0
1050;30/4/2014;1952;28332;3;4;0;0;58;14;10;13;4;15;1;2;1;4;2;0
5846;19/12/2012;1977;40246;3;3;1;0;68;2;1;6;2;1;1;1;0;2;6;0
1859;27/8/2012;1972;75251;4;4;0;0;34;721;111;925;97;18;1;7;6;5;5;0
7503;12/10/2012;1976;75825;3;5;0;0;40;1032;105;779;137;105;0;5;8;9;4;0
10401;4/9/2013;1976;26326;1;6;0;0;12;1;0;5;0;3;1;0;0;3;3;1
1618;2/1/2013;1965;56046;3;6;0;0;9;577;0;64;0;0;2;10;1;8;8;0
3332;29/8/2012;1985;29760;3;5;1;0;87;64;4;68;7;5;4;3;1;4;8;0
2261;23/6/2013;1969;26304;3;4;1;0;5;4;1;5;2;0;1;1;0;2;7;0
5346;3/7/2013;1973;23559;1;4;1;0;87;25;5;19;7;0;3;3;0;3;7;0
4119;11/5/2013;1963;38620;4;6;0;0;56;112;17;44;34;22;1;2;5;3;3;0
535;25/2/2014;1987;81361;3;3;0;0;18;163;23;424;27;65;1;3;10;13;1;0
5268;11/8/2013;1960;29440;3;4;1;1;95;17;8;14;10;4;2;1;0;4;7;0
273;16/7/2013;1970;36138;4;4;1;1;48;130;0;16;0;0;5;3;1;4;7;0
4452;28/5/2014;1957;50388;3;5;0;1;3;292;6;37;0;3;4;6;1;6;7;0
8504;12/5/2014;1973;79593;3;4;0;0;70;350;60;568;110;133;1;5;6;7;2;0
771;21/1/2014;1967;54178;3;6;0;1;79;135;9;39;4;0;1;2;2;5;2;0
8996;19/11/2012;1957;;5;4;2;1;4;230;42;192;49;37;12;7;2;8;9;0
9235;27/5/2014;1957;;3;5;1;1;45;7;0;8;2;0;1;1;0;2;7;0
5798;23/11/2013;1973;;4;6;0;0;87;445;37;359;98;28;1;2;4;8;1;0
11178;23/3/2014;1972;42394;4;5;1;0;69;15;2;10;0;1;1;1;0;3;7;0
2230;24/5/2014;1970;23626;5;4;1;0;84;27;2;14;0;0;3;3;1;3;5;0
7516;22/5/2014;1983;30096;3;4;1;0;30;5;3;11;12;5;1;2;0;3;6;0
7247;22/11/2012;1960;47916;3;7;0;1;72;505;0;26;0;0;5;7;4;6;6;0
11100;11/4/2013;1972;51813;3;3;1;1;37;51;2;7;0;1;2;2;0;3;7;0
4646;1/12/2013;1951;78497;1;4;0;0;44;207;26;447;75;0;1;5;7;12;2;0
3037;20/6/2013;1983;50150;5;4;0;0;32;135;46;92;65;61;2;5;2;7;5;0
1473;23/7/2013;1960;47823;1;5;0;1;0;53;1;5;2;1;2;2;0;3;8;0
1016;30/3/2014;1959;34554;5;5;0;1;43;41;1;6;2;0;2;2;0;3;6;0
4518;20/4/2013;1979;85693;3;6;0;1;59;386;172;183;185;132;2;9;5;11;5;0
9370;17/5/2013;1945;65846;5;4;0;0;68;562;81;276;80;40;1;6;3;6;4;0
8908;8/5/2014;1959;87195;3;4;0;0;35;217;76;690;50;26;1;3;11;5;1;0
8373;10/12/2013;1979;24594;2;6;1;0;94;1;3;6;10;0;1;1;0;3;5;0
7533;24/9/2013;1964;49096;3;4;1;1;15;144;1;32;2;1;4;4;1;4;7;0
2683;2/2/2013;1969;52413;3;4;0;2;56;295;106;271;75;98;4;6;4;12;6;0
3629;19/12/2012;1978;38557;3;5;1;0;17;76;3;31;4;4;2;3;1;3;7;0
10991;7/12/2012;1960;89058;4;4;0;0;18;454;194;106;31;22;1;5;4;4;2;0
5077;2/11/2013;1979;77298;3;6;0;1;46;425;115;292;23;35;1;6;6;11;3;0
7431;10/11/2012;1991;68126;5;5;0;0;40;1332;17;311;23;51;1;7;4;5;9;0
3267;25/6/2014;1963;57288;4;6;0;1;27;527;0;21;0;0;3;8;1;8;6;0
999;2/1/2013;1991;86037;3;5;0;0;95;490;44;125;29;20;1;6;7;11;3;0
9215;12/12/2012;1980;43974;5;4;1;0;19;378;0;101;0;0;5;6;4;6;7;0
2286;10/9/2013;1962;50785;3;5;1;1;27;64;1;21;0;1;2;2;1;3;6;0
1592;24/1/2014;1970;90765;3;4;0;0;25;547;99;812;151;82;0;4;6;5;1;0
367;19/2/2013;1978;36550;1;4;1;0;74;47;90;94;123;103;5;9;1;5;9;0
5234;11/7/2013;1967;30753;1;6;1;1;85;12;5;25;0;9;2;1;1;3;5;0
9862;14/11/2013;1969;21918;3;6;1;0;37;1;6;7;11;5;2;2;0;3;6;0
9805;20/6/2013;1953;56129;4;6;0;1;65;320;48;133;39;72;4;6;2;10;4;0
6205;24/2/2014;1967;32557;4;5;1;0;13;34;3;29;0;4;3;2;1;3;5;0
8442;4/9/2013;1985;19510;4;4;2;0;63;9;0;7;3;4;2;1;0;3;7;0
7386;22/4/2013;1976;30992;3;3;1;0;83;17;0;14;7;3;1;1;0;3;7;0
7215;12/3/2013;1983;101970;3;5;0;0;69;722;27;102;44;72;0;6;8;13;2;0
1491;18/2/2013;1965;71488;1;6;0;0;87;162;33;124;40;28;2;3;4;7;1;0
11071;21/4/2013;1984;79607;3;5;0;0;37;450;133;951;173;0;1;3;6;6;1;0
3381;8/6/2014;1953;54348;4;4;1;1;51;70;0;16;0;0;2;2;0;4;6;0
8268;11/7/2013;1961;;5;4;0;1;23;352;0;27;10;0;3;6;1;7;6;0
11051;10/5/2014;1956;77376;5;6;1;1;72;492;19;110;16;12;4;6;3;10;4;0
8026;30/9/2013;1952;62998;3;4;0;1;10;120;58;73;65;89;5;5;4;5;5;0
433;10/3/2013;1958;61331;4;2;1;1;42;534;5;47;0;5;5;11;1;6;8;0
9597;10/2/2014;1969;73448;3;4;0;0;10;236;106;189;23;41;1;7;2;9;4;0
1295;11/8/2013;1963;;3;4;0;1;96;231;65;196;38;71;1;6;5;7;4;0
5290;14/8/2013;1964;41551;5;4;1;1;51;220;0;33;3;0;5;5;1;5;8;0
1685;17/3/2013;1967;62981;5;6;0;0;21;796;14;590;38;44;1;4;5;13;3;0
5342;8/8/2012;1976;9548;2;3;1;0;31;0;1;3;10;6;2;1;0;3;8;0
9579;7/7/2013;1959;33762;5;4;2;1;61;53;1;34;2;0;3;2;2;2;8;0
7660;19/5/2014;1973;35860;5;2;1;1;37;15;0;8;4;2;2;1;1;2;5;0
1461;28/7/2013;1965;36921;5;3;1;1;74;17;1;12;3;1;2;2;0;3;7;0
821;19/10/2012;1992;92859;4;5;0;0;46;962;61;921;52;61;1;5;4;12;2;0
11084;14/11/2013;1976;65104;4;6;0;1;4;738;0;232;13;20;2;3;5;7;7;0
8690;19/4/2013;1962;86111;3;4;0;0;73;399;28;756;36;40;1;5;7;10;2;0
2937;28/8/2013;1974;68352;5;5;0;1;47;614;16;132;43;33;3;8;5;9;6;0
9701;19/3/2013;1988;41883;3;6;1;0;13;32;34;41;73;16;3;4;2;3;7;0
9949;18/10/2012;1976;59809;3;4;0;2;36;598;16;141;32;41;3;3;3;6;8;0
10837;28/10/2012;1975;23957;3;4;1;0;47;2;1;18;20;11;1;2;0;3;6;0
3120;28/8/2013;1981;38547;3;6;1;0;49;6;1;10;0;1;1;1;0;2;8;1
5885;22/8/2012;1973;35688;1;4;2;1;94;73;3;90;12;1;7;4;1;4;8;0
4050;21/6/2014;1966;49605;4;4;0;0;65;42;16;29;12;20;1;2;1;4;3;0
3830;24/4/2014;1953;59354;4;4;0;2;59;295;21;78;39;13;1;4;4;7;3;0
7987;7/3/2014;1969;65747;3;4;0;1;96;346;17;48;23;13;4;8;1;6;6;0
7798;14/12/2012;1972;46344;1;6;0;1;28;233;20;57;8;20;4;7;1;5;7;0
92;12/5/2014;1988;34176;3;2;1;0;12;5;7;24;19;14;4;3;0;4;6;0
7055;9/10/2012;1952;61010;5;6;0;1;57;888;0;57;0;0;2;8;5;11;5;0
10240;19/2/2013;1949;69372;3;6;0;0;10;997;26;269;34;13;1;10;4;6;4;0
3025;8/7/2013;1958;49967;3;5;0;1;4;212;6;69;4;12;3;6;1;5;7;0
9283;12/9/2013;1978;60199;3;5;1;2;49;8;1;7;2;0;1;0;0;3;4;0
9970;17/10/2013;1977;55375;3;6;0;1;3;42;11;57;10;28;1;1;1;6;2;0
2730;20/8/2013;1955;80317;3;5;0;0;64;536;11;387;149;91;1;3;4;10;1;0
2795;1/7/2013;1958;30523;4;5;2;1;0;5;0;3;0;0;1;1;0;2;7;0
9260;5/11/2012;1945;70356;5;4;0;0;20;1349;16;249;43;16;2;10;6;9;6;0
8182;5/1/2014;1984;23228;3;4;1;0;91;53;3;49;7;4;4;3;0;4;8;0
10095;1/5/2013;1975;74165;5;3;0;0;9;1001;12;240;16;12;1;5;4;10;2;0
8475;1/3/2014;1973;157243;5;4;0;1;98;20;2;1582;1;2;15;0;22;0;0;0
4370;13/11/2013;1966;43482;3;6;2;1;83;18;1;32;6;3;3;2;0;4;6;0
10573;18/11/2013;1953;62551;3;3;0;0;27;125;16;98;134;21;1;6;7;4;3;0
3712;28/8/2013;1959;52332;3;3;0;0;63;212;5;33;7;0;1;3;2;6;4;0
6637;2/11/2013;1988;66951;3;5;0;0;46;277;162;305;173;76;1;3;4;7;1;0
3152;25/2/2014;1957;26091;3;6;1;1;84;15;10;19;8;17;3;2;1;3;5;0
5610;21/4/2014;1965;33456;3;6;1;1;58;7;3;10;8;1;2;1;0;3;7;0
6460;13/7/2013;1982;28718;3;4;1;0;78;12;4;6;11;8;2;2;0;3;8;0
1349;21/4/2014;1970;50447;3;4;2;0;4;85;7;24;2;3;1;3;1;3;6;0
1880;30/1/2014;1959;53537;5;6;1;1;17;81;0;6;0;0;2;2;1;3;5;0
641;4/4/2014;1967;52074;3;5;0;1;77;59;0;12;0;0;1;2;2;2;4;0
8717;12/9/2012;1975;80427;5;4;0;1;56;1149;71;449;69;71;1;11;8;8;5;0
10314;16/12/2012;1948;83837;5;4;0;0;79;847;66;119;86;89;1;9;10;5;4;0
10854;23/5/2014;1970;38853;5;4;1;1;90;29;0;14;0;0;2;2;0;3;7;0
10492;24/6/2014;1959;38285;3;6;2;1;96;2;0;5;2;0;1;0;0;3;2;0
6935;1/12/2013;1951;78497;1;4;0;0;44;207;26;447;75;0;1;5;7;12;2;0
7698;11/5/2014;1976;51650;5;4;0;1;81;152;3;22;2;5;1;4;1;4;5;0
3559;10/5/2014;1988;16248;1;4;1;0;77;12;11;10;3;12;3;2;1;3;6;0
10562;28/9/2013;1946;66835;4;4;0;0;21;620;26;195;34;17;1;6;4;13;2;0
10796;22/1/2014;1984;30477;4;4;1;0;16;47;1;6;0;0;1;1;1;3;6;0
2563;15/6/2014;1961;28249;2;4;0;0;80;1;9;7;2;14;1;2;0;3;6;0
3518;5/12/2012;1983;25271;3;4;1;0;45;10;1;18;10;4;1;1;1;2;9;0
5823;8/3/2014;1970;32303;5;5;0;1;63;35;0;2;0;0;2;1;0;4;5;0
3934;2/8/2013;1966;61286;3;4;0;1;34;356;0;107;19;9;2;7;1;8;5;0
6982;19/3/2013;1976;74068;3;4;0;0;14;783;30;537;140;76;1;4;10;9;2;0
6431;23/2/2013;1964;45759;5;4;1;1;13;42;1;18;3;0;2;2;0;3;7;0
9733;9/9/2012;1978;24882;2;6;1;0;52;1;4;10;29;0;1;1;1;2;6;0
5602;17/5/2013;1989;66973;5;6;0;0;98;466;22;432;147;113;1;8;7;12;3;0
7829;26/9/2013;1900;36640;1;3;1;0;99;15;6;8;7;4;1;2;1;2;5;1
1324;30/5/2013;1988;38872;3;4;1;0;93;23;3;21;3;19;2;3;0;3;8;0
326;18/2/2013;1973;51148;3;4;1;1;38;235;6;45;8;9;4;5;1;6;6;0
7224;29/12/2013;1977;31353;3;4;1;1;24;10;0;10;3;1;2;1;1;2;8;0
6999;13/5/2014;1980;69661;4;4;0;0;80;656;16;106;32;16;1;7;3;12;3;0
9938;19/9/2013;1954;80067;3;4;0;0;82;519;17;813;27;173;1;4;6;6;2;0
6422;17/1/2013;1954;86718;3;4;0;0;20;344;189;482;50;33;1;5;6;5;2;0
3182;31/3/2014;1973;46854;5;5;1;1;81;96;1;79;7;1;6;5;1;3;8;0
7300;29/6/2014;1952;69142;3;3;0;1;50;448;4;34;6;4;3;8;1;7;5;0
10424;9/12/2013;1968;75922;3;5;0;0;60;265;138;553;224;23;1;4;4;9;1;0
8727;14/10/2013;1978;63693;3;3;0;1;63;587;43;337;42;87;3;11;6;9;6;0
2798;2/11/2012;1977;102160;5;6;0;0;54;763;29;138;76;176;0;7;9;10;4;0
1030;17/7/2013;1965;40637;5;5;1;1;72;22;0;13;0;0;2;1;0;3;7;0
624;10/11/2012;1984;18890;4;5;0;0;5;6;4;1;7;2;1;0;1;2;6;0
5176;8/12/2013;1988;29604;3;6;1;0;88;7;6;13;7;6;1;1;0;3;9;0
5552;13/5/2013;1963;48721;4;3;1;1;50;81;18;113;47;13;6;4;2;5;6;0
868;8/6/2014;1966;44794;3;4;0;1;99;54;0;7;0;0;1;2;0;3;6;0
380;10/9/2012;1954;64497;3;3;0;1;17;1170;48;320;42;32;5;11;4;9;8;0
2677;31/3/2013;1956;46097;3;6;0;1;11;72;24;68;65;4;5;3;1;6;4;0
6521;18/3/2014;1954;77972;3;6;0;0;18;613;22;319;33;102;1;4;6;9;1;0
6927;5/10/2012;1968;44377;5;4;1;1;70;224;0;30;0;0;8;5;1;5;8;0
2877;21/1/2013;1974;46014;4;6;1;1;21;410;0;59;19;9;10;7;1;8;7;0
0;4/5/2013;1985;70951;3;4;0;0;66;239;10;554;254;87;1;3;4;9;1;0
1584;1/4/2014;1977;41443;3;4;1;0;79;171;7;171;25;19;6;8;1;5;8;0
7264;12/5/2014;1978;52195;1;5;2;1;2;12;0;4;0;0;1;1;0;2;8;0
6274;15/11/2013;1948;83790;4;4;0;0;81;1076;16;417;42;48;1;8;10;6;3;0
1377;31/8/2013;1954;44551;4;7;0;1;24;182;4;33;0;0;2;4;1;5;7;0
454;14/11/2012;1980;69508;3;6;1;0;48;824;32;162;42;32;2;11;4;11;6;0
1755;11/4/2014;1988;45204;1;6;1;0;93;30;11;25;29;1;1;1;1;4;3;0
2075;14/11/2013;1969;72460;3;4;0;0;56;377;10;540;80;30;1;3;5;7;1;0
4785;14/4/2014;1970;77622;5;6;0;2;3;520;7;154;19;0;2;6;3;11;3;0
9076;5/1/2013;1980;30732;5;4;1;0;44;155;1;25;0;1;4;4;1;4;8;0
7079;8/9/2012;1962;63887;3;3;0;1;38;897;23;207;15;11;5;9;6;12;6;0
4653;26/3/2013;1978;42011;3;6;1;0;46;131;0;16;2;1;4;3;1;4;8;0
7375;25/10/2012;1976;51369;3;6;0;1;84;297;7;79;0;11;2;8;2;4;8;0
709;9/12/2012;1952;51537;3;3;0;1;27;787;20;204;0;0;3;2;2;11;8;0
460;8/8/2012;1972;79930;5;4;0;0;72;792;86;740;67;51;1;3;5;8;2;0
3726;16/2/2014;1986;34320;5;6;1;0;66;4;1;9;3;0;1;1;0;2;8;0
6798;20/3/2013;1966;37070;3;5;1;1;30;231;7;137;4;15;9;5;1;8;7;0
5341;5/1/2013;1962;81975;1;3;0;1;2;983;76;184;180;138;1;6;3;4;7;0
1606;15/5/2013;1971;38590;3;6;1;0;65;3;1;8;4;3;1;1;0;2;8;0
9617;16/4/2014;1951;15033;3;5;0;0;37;0;4;5;6;0;1;1;0;3;3;0
3233;23/3/2013;1965;62745;5;4;0;1;89;562;21;464;28;10;3;7;8;11;5;0
89;9/12/2013;1975;22212;1;4;1;0;49;5;9;20;6;8;2;2;0;4;6;0
2936;4/12/2013;1982;23661;4;6;1;0;46;18;0;4;0;0;1;1;0;3;7;0
9449;4/10/2013;1958;79761;5;5;0;1;32;415;5;124;15;35;1;5;2;11;3;0
7297;26/12/2013;1973;7500;3;5;1;0;54;5;3;10;12;7;4;3;1;3;7;0
11004;17/5/2014;1893;60182;1;5;0;1;23;8;0;5;7;0;1;1;0;2;4;0
313;28/10/2013;1968;73455;3;7;0;0;98;901;61;757;186;163;1;6;5;10;3;0
9940;23/12/2012;1958;64961;3;6;0;1;97;382;114;276;75;124;2;6;4;4;3;0
10735;31/7/2013;1971;22804;3;5;1;0;75;14;1;7;2;1;1;2;0;2;9;0
9529;28/11/2013;1990;73687;3;4;0;0;8;559;153;503;218;13;1;3;9;9;2;0
6439;17/8/2012;1958;61074;3;4;0;1;37;789;0;133;0;28;7;11;5;8;7;0
7411;5/6/2014;1964;31686;5;4;1;1;31;11;0;5;0;0;2;1;0;3;6;0
2176;20/5/2013;1972;80134;3;4;1;0;40;1218;16;272;104;0;2;5;3;6;6;0
9265;9/1/2013;1953;75027;3;4;0;1;74;925;64;179;133;12;2;9;4;6;5;0
8867;31/8/2012;1988;67546;5;4;0;0;90;864;134;768;150;38;1;4;10;5;3;0
8932;29/10/2012;1969;65176;4;6;0;1;57;960;28;183;220;70;4;9;6;6;6;0
10236;16/9/2013;1975;31160;4;5;1;0;59;16;3;25;6;1;2;2;0;3;8;0
6340;27/10/2013;1985;29938;3;5;1;0;52;3;3;7;0;2;2;1;0;3;6;0
10089;5/4/2013;1974;102692;3;3;0;0;5;168;148;444;32;172;1;6;9;13;2;0
2227;22/9/2012;1958;26490;1;6;0;0;92;45;47;52;21;20;2;3;1;5;6;0
10992;29/8/2012;1967;75702;3;6;1;1;77;650;28;353;45;42;5;4;6;11;8;0
5304;13/10/2012;1974;30899;5;5;1;0;35;24;0;8;0;0;2;1;0;3;6;0
309;16/10/2012;1961;63342;5;6;0;1;48;918;21;118;13;10;3;8;3;5;6;0
3406;22/10/2012;1964;45989;3;5;0;1;97;138;33;87;28;24;4;3;2;7;3;0
2661;4/6/2013;1964;18701;3;5;1;1;95;12;4;2;10;6;4;2;0;4;5;0
3153;8/12/2013;1957;40737;5;5;2;1;24;11;0;4;0;0;1;1;0;2;8;0
10264;10/10/2012;1979;15287;3;3;1;0;60;1;2;8;4;3;2;1;1;2;7;0
1184;22/5/2013;1968;69674;5;3;0;2;46;554;41;215;11;0;3;10;2;10;5;0
4200;17/6/2014;1970;44159;4;4;1;0;85;167;2;62;24;13;4;4;1;6;5;0
9396;23/11/2012;1978;37717;5;4;1;0;31;9;0;6;4;1;1;1;0;2;9;0
2387;3/2/2013;1952;43776;4;6;1;1;9;177;2;71;3;2;6;5;2;4;8;0
6690;14/3/2013;1966;38179;4;4;1;1;30;38;4;22;4;2;4;3;1;3;7;0
1225;26/6/2014;1963;80124;3;4;0;0;47;483;84;398;205;84;1;3;7;8;1;0
9703;15/10/2012;1970;38097;5;4;1;1;70;77;2;35;0;1;4;3;2;2;7;0
291;19/6/2013;1970;72940;3;4;0;0;13;182;74;298;162;149;1;3;3;6;1;0
4557;4/10/2013;1970;22070;3;6;1;0;11;10;7;19;8;2;2;2;2;2;6;0
2379;22/9/2012;1953;69267;3;5;0;0;31;778;44;499;95;73;2;3;4;5;7;0
5726;20/3/2014;1983;31788;4;5;1;0;15;16;7;23;0;8;3;3;0;4;5;1
3066;4/2/2014;1975;61905;5;6;0;1;2;167;0;43;6;2;2;4;2;4;5;0
6336;6/4/2014;1960;29315;3;4;1;1;55;13;2;14;8;7;4;2;0;4;6;0
10967;6/2/2013;1963;33378;3;3;1;1;38;33;6;40;3;7;3;2;0;4;7;0
2304;16/9/2013;1963;66313;5;6;0;1;86;625;7;99;10;22;2;6;3;12;4;0
3445;17/1/2013;1956;60714;3;5;0;0;56;216;162;224;101;92;2;7;4;10;5;0
7828;30/4/2014;1981;77882;4;6;0;0;29;68;129;396;188;22;1;3;3;5;1;0
3762;2/4/2013;1986;69867;5;5;0;0;30;196;0;512;33;130;1;3;5;8;1;0
4391;21/4/2013;1968;63841;4;3;0;1;64;635;15;100;20;7;1;9;3;9;6;0
4669;11/2/2013;1981;24480;2;4;1;0;46;4;19;9;28;25;3;3;0;4;7;0
10144;25/10/2012;1976;51369;3;6;0;1;84;297;7;79;0;11;2;8;2;4;8;0
8652;31/8/2012;1946;37760;3;6;0;0;20;84;5;38;150;12;2;4;1;6;7;0
